location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Rothenburg, Münster;2023-03-03 21:00:00 +0100;Friday;454;3;partly-cloudy-night;
Rothenburg, Münster;2023-03-03 22:00:00 +0100;Friday;290;2;partly-cloudy-night;
Rothenburg, Münster;2023-03-03 23:00:00 +0100;Friday;217;2;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 00:00:00 +0100;Saturday;140;2;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 01:00:00 +0100;Saturday;71;2;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 02:00:00 +0100;Saturday;51;3;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 03:00:00 +0100;Saturday;28;3;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 04:00:00 +0100;Saturday;42;2;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 05:00:00 +0100;Saturday;29;2;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 06:00:00 +0100;Saturday;33;3;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 07:00:00 +0100;Saturday;79;3;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 08:00:00 +0100;Saturday;277;3;cloudy;
Rothenburg, Münster;2023-03-04 09:00:00 +0100;Saturday;798;4;cloudy;
Rothenburg, Münster;2023-03-04 10:00:00 +0100;Saturday;1842;4;cloudy;
Rothenburg, Münster;2023-03-04 11:00:00 +0100;Saturday;3031;5;cloudy;
Rothenburg, Münster;2023-03-04 12:00:00 +0100;Saturday;3528;6;cloudy;
Rothenburg, Münster;2023-03-04 13:00:00 +0100;Saturday;4037;6;cloudy;
Rothenburg, Münster;2023-03-04 14:00:00 +0100;Saturday;4245;7;cloudy;
Rothenburg, Münster;2023-03-04 15:00:00 +0100;Saturday;4135;7;cloudy;
Rothenburg, Münster;2023-03-04 16:00:00 +0100;Saturday;3637;6;cloudy;
Rothenburg, Münster;2023-03-04 17:00:00 +0100;Saturday;2958;6;cloudy;
Rothenburg, Münster;2023-03-04 18:00:00 +0100;Saturday;1895;5;cloudy;
Rothenburg, Münster;2023-03-04 19:00:00 +0100;Saturday;1068;5;cloudy;
Rothenburg, Münster;2023-03-04 20:00:00 +0100;Saturday;499;4;cloudy;
Rothenburg, Münster;2023-03-04 21:00:00 +0100;Saturday;438;4;partly-cloudy-night;
Rothenburg, Münster;2023-03-04 22:00:00 +0100;Saturday;310;4;cloudy;
Rothenburg, Münster;2023-03-04 23:00:00 +0100;Saturday;267;3;cloudy;
Rothenburg, Münster;2023-03-05 00:00:00 +0100;Sunday;133;3;cloudy;
Rothenburg, Münster;2023-03-05 01:00:00 +0100;Sunday;70;3;cloudy;
Rothenburg, Münster;2023-03-05 02:00:00 +0100;Sunday;44;3;cloudy;
Rothenburg, Münster;2023-03-05 03:00:00 +0100;Sunday;28;3;cloudy;
Rothenburg, Münster;2023-03-05 04:00:00 +0100;Sunday;20;3;cloudy;
Rothenburg, Münster;2023-03-05 05:00:00 +0100;Sunday;28;2;cloudy;
Rothenburg, Münster;2023-03-05 06:00:00 +0100;Sunday;17;2;cloudy;
Rothenburg, Münster;2023-03-05 07:00:00 +0100;Sunday;28;2;cloudy;
Rothenburg, Münster;2023-03-05 08:00:00 +0100;Sunday;44;2;cloudy;
Rothenburg, Münster;2023-03-05 09:00:00 +0100;Sunday;130;2;cloudy;
Rothenburg, Münster;2023-03-05 10:00:00 +0100;Sunday;300;3;rain;
Rothenburg, Münster;2023-03-05 11:00:00 +0100;Sunday;463;3;cloudy;
Rothenburg, Münster;2023-03-05 12:00:00 +0100;Sunday;694;4;cloudy;
Rothenburg, Münster;2023-03-05 13:00:00 +0100;Sunday;829;5;cloudy;
Rothenburg, Münster;2023-03-05 14:00:00 +0100;Sunday;855;6;cloudy;
Rothenburg, Münster;2023-03-05 15:00:00 +0100;Sunday;1029;6;cloudy;
Rothenburg, Münster;2023-03-05 16:00:00 +0100;Sunday;957;6;cloudy;
Rothenburg, Münster;2023-03-05 17:00:00 +0100;Sunday;780;6;cloudy;
Rothenburg, Münster;2023-03-05 18:00:00 +0100;Sunday;478;5;cloudy;
Rothenburg, Münster;2023-03-05 19:00:00 +0100;Sunday;273;4;cloudy;
Rothenburg, Münster;2023-03-05 20:00:00 +0100;Sunday;196;4;cloudy;
Rothenburg, Münster;2023-03-05 21:00:00 +0100;Sunday;108;3;cloudy;
Rothenburg, Münster;2023-03-05 22:00:00 +0100;Sunday;85;3;cloudy;
Rothenburg, Münster;2023-03-05 23:00:00 +0100;Sunday;15;2;cloudy;
Rothenburg, Münster;2023-03-06 00:00:00 +0100;Monday;8;2;cloudy;
Rothenburg, Münster;2023-03-06 01:00:00 +0100;Monday;5;2;cloudy;
Rothenburg, Münster;2023-03-06 02:00:00 +0100;Monday;4;2;cloudy;
Rothenburg, Münster;2023-03-06 03:00:00 +0100;Monday;7;2;cloudy;
Rothenburg, Münster;2023-03-06 04:00:00 +0100;Monday;7;1;cloudy;
Rothenburg, Münster;2023-03-06 05:00:00 +0100;Monday;27;1;cloudy;
Rothenburg, Münster;2023-03-06 06:00:00 +0100;Monday;73;1;cloudy;
Rothenburg, Münster;2023-03-06 07:00:00 +0100;Monday;395;1;cloudy;
Rothenburg, Münster;2023-03-06 08:00:00 +0100;Monday;667;1;cloudy;
Rothenburg, Münster;2023-03-06 09:00:00 +0100;Monday;774;1;snow;
Rothenburg, Münster;2023-03-06 10:00:00 +0100;Monday;1100;1;snow;
Rothenburg, Münster;2023-03-06 11:00:00 +0100;Monday;1452;2;snow;
Rothenburg, Münster;2023-03-06 12:00:00 +0100;Monday;1866;2;snow;
Rothenburg, Münster;2023-03-06 13:00:00 +0100;Monday;1938;3;rain;
Rothenburg, Münster;2023-03-06 14:00:00 +0100;Monday;1796;4;cloudy;
Rothenburg, Münster;2023-03-06 15:00:00 +0100;Monday;1749;5;cloudy;
Rothenburg, Münster;2023-03-06 16:00:00 +0100;Monday;1815;5;cloudy;
Rothenburg, Münster;2023-03-06 17:00:00 +0100;Monday;1811;6;partly-cloudy-day;
Rothenburg, Münster;2023-03-06 18:00:00 +0100;Monday;1299;5;cloudy;
Rothenburg, Münster;2023-03-06 19:00:00 +0100;Monday;674;4;cloudy;
Rothenburg, Münster;2023-03-06 20:00:00 +0100;Monday;319;4;cloudy;
Rothenburg, Münster;2023-03-06 21:00:00 +0100;Monday;186;4;cloudy;
Rothenburg, Münster;2023-03-06 22:00:00 +0100;Monday;90;4;cloudy;
Rothenburg, Münster;2023-03-06 23:00:00 +0100;Monday;37;3;cloudy;
Rothenburg, Münster;2023-03-07 00:00:00 +0100;Tuesday;8;3;rain;
Rothenburg, Münster;2023-03-07 01:00:00 +0100;Tuesday;2;3;rain;
Rothenburg, Münster;2023-03-07 02:00:00 +0100;Tuesday;3;4;rain;
Rothenburg, Münster;2023-03-07 03:00:00 +0100;Tuesday;5;5;rain;
Rothenburg, Münster;2023-03-07 04:00:00 +0100;Tuesday;6;5;rain;
Rothenburg, Münster;2023-03-07 05:00:00 +0100;Tuesday;15;4;rain;
Rothenburg, Münster;2023-03-07 06:00:00 +0100;Tuesday;96;4;rain;
Rothenburg, Münster;2023-03-07 07:00:00 +0100;Tuesday;350;4;rain;
Rothenburg, Münster;2023-03-07 08:00:00 +0100;Tuesday;523;3;rain;
Rothenburg, Münster;2023-03-07 09:00:00 +0100;Tuesday;594;2;rain;
Rothenburg, Münster;2023-03-07 10:00:00 +0100;Tuesday;740;2;snow;
Rothenburg, Münster;2023-03-07 11:00:00 +0100;Tuesday;1026;2;snow;
