location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2023-03-03 18:00:00 +0100;Friday;2278;5;clear-day;
Ludgeristraße, Münster;2023-03-03 19:00:00 +0100;Friday;1215;4;clear-night;
Ludgeristraße, Münster;2023-03-03 20:00:00 +0100;Friday;415;3;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-03 21:00:00 +0100;Friday;328;3;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-03 22:00:00 +0100;Friday;192;2;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-03 23:00:00 +0100;Friday;210;2;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 00:00:00 +0100;Saturday;123;2;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 01:00:00 +0100;Saturday;62;2;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 02:00:00 +0100;Saturday;46;3;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 03:00:00 +0100;Saturday;53;3;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 04:00:00 +0100;Saturday;33;2;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 05:00:00 +0100;Saturday;25;2;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 06:00:00 +0100;Saturday;21;3;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 07:00:00 +0100;Saturday;91;3;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 08:00:00 +0100;Saturday;192;3;cloudy;
Ludgeristraße, Münster;2023-03-04 09:00:00 +0100;Saturday;644;4;cloudy;
Ludgeristraße, Münster;2023-03-04 10:00:00 +0100;Saturday;2326;4;cloudy;
Ludgeristraße, Münster;2023-03-04 11:00:00 +0100;Saturday;4147;5;cloudy;
Ludgeristraße, Münster;2023-03-04 12:00:00 +0100;Saturday;4953;6;cloudy;
Ludgeristraße, Münster;2023-03-04 13:00:00 +0100;Saturday;5722;6;cloudy;
Ludgeristraße, Münster;2023-03-04 14:00:00 +0100;Saturday;5897;7;cloudy;
Ludgeristraße, Münster;2023-03-04 15:00:00 +0100;Saturday;5888;7;cloudy;
Ludgeristraße, Münster;2023-03-04 16:00:00 +0100;Saturday;5550;6;cloudy;
Ludgeristraße, Münster;2023-03-04 17:00:00 +0100;Saturday;4295;6;cloudy;
Ludgeristraße, Münster;2023-03-04 18:00:00 +0100;Saturday;2977;5;cloudy;
Ludgeristraße, Münster;2023-03-04 19:00:00 +0100;Saturday;1458;5;cloudy;
Ludgeristraße, Münster;2023-03-04 20:00:00 +0100;Saturday;525;4;cloudy;
Ludgeristraße, Münster;2023-03-04 21:00:00 +0100;Saturday;422;4;partly-cloudy-night;
Ludgeristraße, Münster;2023-03-04 22:00:00 +0100;Saturday;345;4;cloudy;
Ludgeristraße, Münster;2023-03-04 23:00:00 +0100;Saturday;204;3;cloudy;
Ludgeristraße, Münster;2023-03-05 00:00:00 +0100;Sunday;150;3;cloudy;
Ludgeristraße, Münster;2023-03-05 01:00:00 +0100;Sunday;99;3;cloudy;
Ludgeristraße, Münster;2023-03-05 02:00:00 +0100;Sunday;111;3;cloudy;
Ludgeristraße, Münster;2023-03-05 03:00:00 +0100;Sunday;63;3;cloudy;
Ludgeristraße, Münster;2023-03-05 04:00:00 +0100;Sunday;14;3;cloudy;
Ludgeristraße, Münster;2023-03-05 05:00:00 +0100;Sunday;12;2;cloudy;
Ludgeristraße, Münster;2023-03-05 06:00:00 +0100;Sunday;14;2;cloudy;
Ludgeristraße, Münster;2023-03-05 07:00:00 +0100;Sunday;39;2;cloudy;
Ludgeristraße, Münster;2023-03-05 08:00:00 +0100;Sunday;44;2;cloudy;
Ludgeristraße, Münster;2023-03-05 09:00:00 +0100;Sunday;98;2;cloudy;
Ludgeristraße, Münster;2023-03-05 10:00:00 +0100;Sunday;217;3;rain;
Ludgeristraße, Münster;2023-03-05 11:00:00 +0100;Sunday;359;3;cloudy;
Ludgeristraße, Münster;2023-03-05 12:00:00 +0100;Sunday;425;4;cloudy;
Ludgeristraße, Münster;2023-03-05 13:00:00 +0100;Sunday;505;5;cloudy;
Ludgeristraße, Münster;2023-03-05 14:00:00 +0100;Sunday;628;6;cloudy;
Ludgeristraße, Münster;2023-03-05 15:00:00 +0100;Sunday;684;6;cloudy;
Ludgeristraße, Münster;2023-03-05 16:00:00 +0100;Sunday;638;6;cloudy;
Ludgeristraße, Münster;2023-03-05 17:00:00 +0100;Sunday;470;6;cloudy;
Ludgeristraße, Münster;2023-03-05 18:00:00 +0100;Sunday;339;5;cloudy;
Ludgeristraße, Münster;2023-03-05 19:00:00 +0100;Sunday;224;4;cloudy;
Ludgeristraße, Münster;2023-03-05 20:00:00 +0100;Sunday;158;4;cloudy;
Ludgeristraße, Münster;2023-03-05 21:00:00 +0100;Sunday;96;3;cloudy;
Ludgeristraße, Münster;2023-03-05 22:00:00 +0100;Sunday;67;3;cloudy;
Ludgeristraße, Münster;2023-03-05 23:00:00 +0100;Sunday;18;2;cloudy;
Ludgeristraße, Münster;2023-03-06 00:00:00 +0100;Monday;13;2;cloudy;
Ludgeristraße, Münster;2023-03-06 01:00:00 +0100;Monday;6;2;cloudy;
Ludgeristraße, Münster;2023-03-06 02:00:00 +0100;Monday;11;2;cloudy;
Ludgeristraße, Münster;2023-03-06 03:00:00 +0100;Monday;12;2;cloudy;
Ludgeristraße, Münster;2023-03-06 04:00:00 +0100;Monday;7;1;cloudy;
Ludgeristraße, Münster;2023-03-06 05:00:00 +0100;Monday;23;1;cloudy;
Ludgeristraße, Münster;2023-03-06 06:00:00 +0100;Monday;59;1;cloudy;
Ludgeristraße, Münster;2023-03-06 07:00:00 +0100;Monday;261;1;cloudy;
Ludgeristraße, Münster;2023-03-06 08:00:00 +0100;Monday;409;1;cloudy;
Ludgeristraße, Münster;2023-03-06 09:00:00 +0100;Monday;479;1;snow;
Ludgeristraße, Münster;2023-03-06 10:00:00 +0100;Monday;1086;1;snow;
