location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2021-01-01 00:00:00 +0100;Friday;109;1;cloudy;
Ludgeristraße, Münster;2021-01-01 01:00:00 +0100;Friday;49;1;cloudy;
Ludgeristraße, Münster;2021-01-01 02:00:00 +0100;Friday;29;1;cloudy;
Ludgeristraße, Münster;2021-01-01 03:00:00 +0100;Friday;21;1;cloudy;
Ludgeristraße, Münster;2021-01-01 04:00:00 +0100;Friday;24;0;cloudy;
Ludgeristraße, Münster;2021-01-01 05:00:00 +0100;Friday;23;0;cloudy;
Ludgeristraße, Münster;2021-01-01 06:00:00 +0100;Friday;12;-1;cloudy;
Ludgeristraße, Münster;2021-01-01 07:00:00 +0100;Friday;10;-1;cloudy;
Ludgeristraße, Münster;2021-01-01 08:00:00 +0100;Friday;13;-2;cloudy;
Ludgeristraße, Münster;2021-01-01 09:00:00 +0100;Friday;21;-1;cloudy;
Ludgeristraße, Münster;2021-01-01 10:00:00 +0100;Friday;39;-1;cloudy;
Ludgeristraße, Münster;2021-01-01 11:00:00 +0100;Friday;89;-1;cloudy;
Ludgeristraße, Münster;2021-01-01 12:00:00 +0100;Friday;154;1;cloudy;
Ludgeristraße, Münster;2021-01-01 13:00:00 +0100;Friday;202;1;cloudy;
Ludgeristraße, Münster;2021-01-01 14:00:00 +0100;Friday;288;3;partly-cloudy-day;
Ludgeristraße, Münster;2021-01-01 15:00:00 +0100;Friday;365;3;partly-cloudy-day;
Ludgeristraße, Münster;2021-01-01 16:00:00 +0100;Friday;371;2;partly-cloudy-day;
Ludgeristraße, Münster;2021-01-01 17:00:00 +0100;Friday;336;2;partly-cloudy-night;
Ludgeristraße, Münster;2021-01-01 18:00:00 +0100;Friday;179;1;partly-cloudy-night;
Ludgeristraße, Münster;2021-01-01 19:00:00 +0100;Friday;137;1;partly-cloudy-night;
Ludgeristraße, Münster;2021-01-01 20:00:00 +0100;Friday;98;1;partly-cloudy-night;
