location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2020-01-01 00:00:00 +0100;Wednesday;901;-1;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-01 01:00:00 +0100;Wednesday;186;-1;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-01 02:00:00 +0100;Wednesday;181;0;clear-night;
Ludgeristraße, Münster;2020-01-01 03:00:00 +0100;Wednesday;109;-1;clear-night;
Ludgeristraße, Münster;2020-01-01 04:00:00 +0100;Wednesday;71;-2;clear-night;
Ludgeristraße, Münster;2020-01-01 05:00:00 +0100;Wednesday;53;-3;clear-night;
Ludgeristraße, Münster;2020-01-01 06:00:00 +0100;Wednesday;30;-3;clear-night;
Ludgeristraße, Münster;2020-01-01 07:00:00 +0100;Wednesday;14;-4;clear-night;
Ludgeristraße, Münster;2020-01-01 08:00:00 +0100;Wednesday;36;-4;clear-night;
Ludgeristraße, Münster;2020-01-01 09:00:00 +0100;Wednesday;32;-4;clear-day;
Ludgeristraße, Münster;2020-01-01 10:00:00 +0100;Wednesday;64;-3;clear-day;
Ludgeristraße, Münster;2020-01-01 11:00:00 +0100;Wednesday;133;-2;clear-day;
Ludgeristraße, Münster;2020-01-01 12:00:00 +0100;Wednesday;199;0;clear-day;
Ludgeristraße, Münster;2020-01-01 13:00:00 +0100;Wednesday;340;2;clear-day;
Ludgeristraße, Münster;2020-01-01 14:00:00 +0100;Wednesday;405;2;clear-day;
Ludgeristraße, Münster;2020-01-01 15:00:00 +0100;Wednesday;469;2;clear-day;
Ludgeristraße, Münster;2020-01-01 16:00:00 +0100;Wednesday;492;1;clear-day;
Ludgeristraße, Münster;2020-01-01 17:00:00 +0100;Wednesday;418;1;clear-night;
Ludgeristraße, Münster;2020-01-01 18:00:00 +0100;Wednesday;232;0;clear-night;
Ludgeristraße, Münster;2020-01-01 19:00:00 +0100;Wednesday;164;-1;clear-night;
Ludgeristraße, Münster;2020-01-01 20:00:00 +0100;Wednesday;129;-1;clear-night;
Ludgeristraße, Münster;2020-01-01 21:00:00 +0100;Wednesday;52;-1;clear-night;
Ludgeristraße, Münster;2020-01-01 22:00:00 +0100;Wednesday;38;-2;clear-night;
Ludgeristraße, Münster;2020-01-01 23:00:00 +0100;Wednesday;17;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 00:00:00 +0100;Thursday;19;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 01:00:00 +0100;Thursday;6;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 02:00:00 +0100;Thursday;10;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 03:00:00 +0100;Thursday;7;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 04:00:00 +0100;Thursday;11;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 05:00:00 +0100;Thursday;18;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 06:00:00 +0100;Thursday;64;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 07:00:00 +0100;Thursday;212;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 08:00:00 +0100;Thursday;272;-2;clear-night;
Ludgeristraße, Münster;2020-01-02 09:00:00 +0100;Thursday;505;-2;clear-day;
Ludgeristraße, Münster;2020-01-02 10:00:00 +0100;Thursday;1342;-1;clear-day;
Ludgeristraße, Münster;2020-01-02 11:00:00 +0100;Thursday;2799;-1;clear-day;
Ludgeristraße, Münster;2020-01-02 12:00:00 +0100;Thursday;4010;0;clear-day;
Ludgeristraße, Münster;2020-01-02 13:00:00 +0100;Thursday;4699;1;clear-day;
Ludgeristraße, Münster;2020-01-02 14:00:00 +0100;Thursday;4714;1;clear-day;
Ludgeristraße, Münster;2020-01-02 15:00:00 +0100;Thursday;5209;2;clear-day;
Ludgeristraße, Münster;2020-01-02 16:00:00 +0100;Thursday;4946;3;clear-day;
Ludgeristraße, Münster;2020-01-02 17:00:00 +0100;Thursday;4270;3;clear-night;
Ludgeristraße, Münster;2020-01-02 18:00:00 +0100;Thursday;2763;3;clear-night;
Ludgeristraße, Münster;2020-01-02 19:00:00 +0100;Thursday;1492;3;clear-night;
Ludgeristraße, Münster;2020-01-02 20:00:00 +0100;Thursday;372;3;clear-night;
Ludgeristraße, Münster;2020-01-02 21:00:00 +0100;Thursday;138;3;clear-night;
Ludgeristraße, Münster;2020-01-02 22:00:00 +0100;Thursday;94;3;clear-night;
Ludgeristraße, Münster;2020-01-02 23:00:00 +0100;Thursday;51;4;clear-night;
Ludgeristraße, Münster;2020-01-03 00:00:00 +0100;Friday;18;4;clear-night;
Ludgeristraße, Münster;2020-01-03 01:00:00 +0100;Friday;4;4;clear-night;
Ludgeristraße, Münster;2020-01-03 02:00:00 +0100;Friday;13;5;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-03 03:00:00 +0100;Friday;10;6;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-03 04:00:00 +0100;Friday;6;6;cloudy;
Ludgeristraße, Münster;2020-01-03 05:00:00 +0100;Friday;23;6;cloudy;
Ludgeristraße, Münster;2020-01-03 06:00:00 +0100;Friday;121;6;cloudy;
Ludgeristraße, Münster;2020-01-03 07:00:00 +0100;Friday;234;6;cloudy;
Ludgeristraße, Münster;2020-01-03 08:00:00 +0100;Friday;252;6;cloudy;
Ludgeristraße, Münster;2020-01-03 09:00:00 +0100;Friday;735;6;cloudy;
Ludgeristraße, Münster;2020-01-03 10:00:00 +0100;Friday;1466;6;cloudy;
Ludgeristraße, Münster;2020-01-03 11:00:00 +0100;Friday;2695;6;cloudy;
Ludgeristraße, Münster;2020-01-03 12:00:00 +0100;Friday;3605;6;rain;
Ludgeristraße, Münster;2020-01-03 13:00:00 +0100;Friday;3971;7;rain;
Ludgeristraße, Münster;2020-01-03 14:00:00 +0100;Friday;4103;8;rain;
Ludgeristraße, Münster;2020-01-03 15:00:00 +0100;Friday;3999;9;rain;
Ludgeristraße, Münster;2020-01-03 16:00:00 +0100;Friday;3854;8;rain;
Ludgeristraße, Münster;2020-01-03 17:00:00 +0100;Friday;3210;8;rain;
Ludgeristraße, Münster;2020-01-03 18:00:00 +0100;Friday;2216;8;rain;
Ludgeristraße, Münster;2020-01-03 19:00:00 +0100;Friday;1170;7;rain;
Ludgeristraße, Münster;2020-01-03 20:00:00 +0100;Friday;404;7;rain;
Ludgeristraße, Münster;2020-01-03 21:00:00 +0100;Friday;189;6;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-03 22:00:00 +0100;Friday;176;5;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-03 23:00:00 +0100;Friday;82;4;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-04 00:00:00 +0100;Saturday;89;5;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-04 01:00:00 +0100;Saturday;46;5;partly-cloudy-night;
Ludgeristraße, Münster;2020-01-04 02:00:00 +0100;Saturday;17;4;cloudy;
Ludgeristraße, Münster;2020-01-04 03:00:00 +0100;Saturday;39;4;cloudy;
Ludgeristraße, Münster;2020-01-04 04:00:00 +0100;Saturday;19;4;cloudy;
Ludgeristraße, Münster;2020-01-04 05:00:00 +0100;Saturday;27;4;cloudy;
Ludgeristraße, Münster;2020-01-04 06:00:00 +0100;Saturday;46;3;cloudy;
Ludgeristraße, Münster;2020-01-04 07:00:00 +0100;Saturday;91;4;cloudy;
Ludgeristraße, Münster;2020-01-04 08:00:00 +0100;Saturday;148;4;cloudy;
Ludgeristraße, Münster;2020-01-04 09:00:00 +0100;Saturday;628;4;cloudy;
Ludgeristraße, Münster;2020-01-04 10:00:00 +0100;Saturday;2092;5;cloudy;
Ludgeristraße, Münster;2020-01-04 11:00:00 +0100;Saturday;3881;5;cloudy;
Ludgeristraße, Münster;2020-01-04 12:00:00 +0100;Saturday;4882;5;rain;
Ludgeristraße, Münster;2020-01-04 13:00:00 +0100;Saturday;5627;6;rain;
Ludgeristraße, Münster;2020-01-04 14:00:00 +0100;Saturday;5700;7;cloudy;
Ludgeristraße, Münster;2020-01-04 15:00:00 +0100;Saturday;5581;7;cloudy;
Ludgeristraße, Münster;2020-01-04 16:00:00 +0100;Saturday;5404;7;cloudy;
Ludgeristraße, Münster;2020-01-04 17:00:00 +0100;Saturday;4232;7;rain;
Ludgeristraße, Münster;2020-01-04 18:00:00 +0100;Saturday;2864;7;rain;
Ludgeristraße, Münster;2020-01-04 19:00:00 +0100;Saturday;1582;7;rain;
Ludgeristraße, Münster;2020-01-04 20:00:00 +0100;Saturday;489;6;rain;
Ludgeristraße, Münster;2020-01-04 21:00:00 +0100;Saturday;252;6;partly-cloudy-night;
