location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Alter Fischmarkt, Münster;2022-01-01 00:00:00 +0100;Saturday;156;12;cloudy;
Alter Fischmarkt, Münster;2022-01-01 01:00:00 +0100;Saturday;61;12;cloudy;
Alter Fischmarkt, Münster;2022-01-01 02:00:00 +0100;Saturday;56;12;cloudy;
Alter Fischmarkt, Münster;2022-01-01 03:00:00 +0100;Saturday;79;12;cloudy;
Alter Fischmarkt, Münster;2022-01-01 04:00:00 +0100;Saturday;35;11;partly-cloudy-night;
Alter Fischmarkt, Münster;2022-01-01 05:00:00 +0100;Saturday;46;11;partly-cloudy-night;
Alter Fischmarkt, Münster;2022-01-01 06:00:00 +0100;Saturday;21;11;partly-cloudy-night;
Alter Fischmarkt, Münster;2022-01-01 07:00:00 +0100;Saturday;9;11;partly-cloudy-night;
Alter Fischmarkt, Münster;2022-01-01 08:00:00 +0100;Saturday;6;11;partly-cloudy-night;
Alter Fischmarkt, Münster;2022-01-01 09:00:00 +0100;Saturday;15;10;cloudy;
Alter Fischmarkt, Münster;2022-01-01 10:00:00 +0100;Saturday;28;10;cloudy;
Alter Fischmarkt, Münster;2022-01-01 11:00:00 +0100;Saturday;101;11;cloudy;
Alter Fischmarkt, Münster;2022-01-01 12:00:00 +0100;Saturday;106;11;cloudy;
Alter Fischmarkt, Münster;2022-01-01 13:00:00 +0100;Saturday;131;12;cloudy;
Alter Fischmarkt, Münster;2022-01-01 14:00:00 +0100;Saturday;178;12;cloudy;
Alter Fischmarkt, Münster;2022-01-01 15:00:00 +0100;Saturday;230;13;cloudy;
Alter Fischmarkt, Münster;2022-01-01 16:00:00 +0100;Saturday;286;12;cloudy;
Alter Fischmarkt, Münster;2022-01-01 17:00:00 +0100;Saturday;196;12;cloudy;
Alter Fischmarkt, Münster;2022-01-01 18:00:00 +0100;Saturday;141;11;cloudy;
Alter Fischmarkt, Münster;2022-01-01 19:00:00 +0100;Saturday;79;11;cloudy;
Alter Fischmarkt, Münster;2022-01-01 20:00:00 +0100;Saturday;56;11;cloudy;
Alter Fischmarkt, Münster;2022-01-01 21:00:00 +0100;Saturday;29;11;cloudy;
Alter Fischmarkt, Münster;2022-01-01 22:00:00 +0100;Saturday;34;10;cloudy;
Alter Fischmarkt, Münster;2022-01-01 23:00:00 +0100;Saturday;19;10;cloudy;
Alter Fischmarkt, Münster;2022-01-02 00:00:00 +0100;Sunday;13;10;cloudy;
Alter Fischmarkt, Münster;2022-01-02 01:00:00 +0100;Sunday;20;10;cloudy;
Alter Fischmarkt, Münster;2022-01-02 02:00:00 +0100;Sunday;7;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 03:00:00 +0100;Sunday;9;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 04:00:00 +0100;Sunday;2;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 05:00:00 +0100;Sunday;4;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 06:00:00 +0100;Sunday;8;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 07:00:00 +0100;Sunday;7;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 08:00:00 +0100;Sunday;11;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 09:00:00 +0100;Sunday;39;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 10:00:00 +0100;Sunday;68;12;cloudy;
Alter Fischmarkt, Münster;2022-01-02 11:00:00 +0100;Sunday;82;12;cloudy;
Alter Fischmarkt, Münster;2022-01-02 12:00:00 +0100;Sunday;150;12;cloudy;
Alter Fischmarkt, Münster;2022-01-02 13:00:00 +0100;Sunday;199;13;cloudy;
Alter Fischmarkt, Münster;2022-01-02 14:00:00 +0100;Sunday;262;13;cloudy;
Alter Fischmarkt, Münster;2022-01-02 15:00:00 +0100;Sunday;328;12;cloudy;
Alter Fischmarkt, Münster;2022-01-02 16:00:00 +0100;Sunday;323;12;cloudy;
Alter Fischmarkt, Münster;2022-01-02 17:00:00 +0100;Sunday;189;12;cloudy;
Alter Fischmarkt, Münster;2022-01-02 18:00:00 +0100;Sunday;164;12;cloudy;
Alter Fischmarkt, Münster;2022-01-02 19:00:00 +0100;Sunday;81;11;cloudy;
Alter Fischmarkt, Münster;2022-01-02 20:00:00 +0100;Sunday;52;11;rain;
Alter Fischmarkt, Münster;2022-01-02 21:00:00 +0100;Sunday;51;11;rain;
Alter Fischmarkt, Münster;2022-01-02 22:00:00 +0100;Sunday;12;11;rain;
Alter Fischmarkt, Münster;2022-01-02 23:00:00 +0100;Sunday;20;10;rain;
Alter Fischmarkt, Münster;2022-01-03 00:00:00 +0100;Monday;3;10;rain;
Alter Fischmarkt, Münster;2022-01-03 01:00:00 +0100;Monday;7;10;rain;
