location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2023-01-01 00:00:00 +0100;Sunday;969;12;wind;
Ludgeristraße, Münster;2023-01-01 01:00:00 +0100;Sunday;207;13;wind;
Ludgeristraße, Münster;2023-01-01 02:00:00 +0100;Sunday;189;16;wind;
Ludgeristraße, Münster;2023-01-01 03:00:00 +0100;Sunday;173;15;wind;
Ludgeristraße, Münster;2023-01-01 04:00:00 +0100;Sunday;104;15;wind;
Ludgeristraße, Münster;2023-01-01 05:00:00 +0100;Sunday;64;15;wind;
Ludgeristraße, Münster;2023-01-01 06:00:00 +0100;Sunday;11;14;wind;
Ludgeristraße, Münster;2023-01-01 07:00:00 +0100;Sunday;13;15;wind;
Ludgeristraße, Münster;2023-01-01 08:00:00 +0100;Sunday;20;14;wind;
Ludgeristraße, Münster;2023-01-01 09:00:00 +0100;Sunday;21;13;cloudy;
Ludgeristraße, Münster;2023-01-01 10:00:00 +0100;Sunday;57;13;cloudy;
Ludgeristraße, Münster;2023-01-01 11:00:00 +0100;Sunday;96;14;cloudy;
Ludgeristraße, Münster;2023-01-01 12:00:00 +0100;Sunday;198;14;cloudy;
Ludgeristraße, Münster;2023-01-01 13:00:00 +0100;Sunday;365;14;cloudy;
Ludgeristraße, Münster;2023-01-01 14:00:00 +0100;Sunday;498;13;cloudy;
Ludgeristraße, Münster;2023-01-01 15:00:00 +0100;Sunday;627;13;cloudy;
Ludgeristraße, Münster;2023-01-01 16:00:00 +0100;Sunday;654;13;cloudy;
Ludgeristraße, Münster;2023-01-01 17:00:00 +0100;Sunday;553;13;cloudy;
Ludgeristraße, Münster;2023-01-01 18:00:00 +0100;Sunday;243;13;cloudy;
Ludgeristraße, Münster;2023-01-01 19:00:00 +0100;Sunday;203;12;cloudy;
Ludgeristraße, Münster;2023-01-01 20:00:00 +0100;Sunday;135;11;rain;
Ludgeristraße, Münster;2023-01-01 21:00:00 +0100;Sunday;61;11;rain;
Ludgeristraße, Münster;2023-01-01 22:00:00 +0100;Sunday;74;10;rain;
Ludgeristraße, Münster;2023-01-01 23:00:00 +0100;Sunday;24;11;rain;
Ludgeristraße, Münster;2023-01-02 00:00:00 +0100;Monday;10;11;rain;
Ludgeristraße, Münster;2023-01-02 01:00:00 +0100;Monday;7;12;rain;
Ludgeristraße, Münster;2023-01-02 02:00:00 +0100;Monday;9;12;rain;
Ludgeristraße, Münster;2023-01-02 03:00:00 +0100;Monday;6;12;rain;
Ludgeristraße, Münster;2023-01-02 04:00:00 +0100;Monday;9;12;rain;
Ludgeristraße, Münster;2023-01-02 05:00:00 +0100;Monday;21;12;rain;
Ludgeristraße, Münster;2023-01-02 06:00:00 +0100;Monday;51;12;rain;
Ludgeristraße, Münster;2023-01-02 07:00:00 +0100;Monday;195;13;rain;
Ludgeristraße, Münster;2023-01-02 08:00:00 +0100;Monday;251;12;rain;
Ludgeristraße, Münster;2023-01-02 09:00:00 +0100;Monday;435;12;rain;
Ludgeristraße, Münster;2023-01-02 10:00:00 +0100;Monday;1041;11;rain;
Ludgeristraße, Münster;2023-01-02 11:00:00 +0100;Monday;1852;10;rain;
Ludgeristraße, Münster;2023-01-02 12:00:00 +0100;Monday;2729;10;rain;
Ludgeristraße, Münster;2023-01-02 13:00:00 +0100;Monday;3239;9;rain;
Ludgeristraße, Münster;2023-01-02 14:00:00 +0100;Monday;3404;9;cloudy;
Ludgeristraße, Münster;2023-01-02 15:00:00 +0100;Monday;3949;9;cloudy;
Ludgeristraße, Münster;2023-01-02 16:00:00 +0100;Monday;4092;9;rain;
Ludgeristraße, Münster;2023-01-02 17:00:00 +0100;Monday;3379;9;rain;
Ludgeristraße, Münster;2023-01-02 18:00:00 +0100;Monday;2009;9;rain;
Ludgeristraße, Münster;2023-01-02 19:00:00 +0100;Monday;846;9;rain;
Ludgeristraße, Münster;2023-01-02 20:00:00 +0100;Monday;303;9;rain;
Ludgeristraße, Münster;2023-01-02 21:00:00 +0100;Monday;129;8;rain;
Ludgeristraße, Münster;2023-01-02 22:00:00 +0100;Monday;99;8;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-02 23:00:00 +0100;Monday;41;8;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 00:00:00 +0100;Tuesday;18;7;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 01:00:00 +0100;Tuesday;5;7;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 02:00:00 +0100;Tuesday;8;7;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 03:00:00 +0100;Tuesday;3;6;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 04:00:00 +0100;Tuesday;15;6;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 05:00:00 +0100;Tuesday;23;6;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 06:00:00 +0100;Tuesday;70;6;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 07:00:00 +0100;Tuesday;183;5;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 08:00:00 +0100;Tuesday;263;5;partly-cloudy-night;
Ludgeristraße, Münster;2023-01-03 09:00:00 +0100;Tuesday;541;4;partly-cloudy-day;
Ludgeristraße, Münster;2023-01-03 10:00:00 +0100;Tuesday;1290;5;partly-cloudy-day;
Ludgeristraße, Münster;2023-01-03 11:00:00 +0100;Tuesday;2461;6;partly-cloudy-day;
