location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2019-01-03 14:00:00 +0100;Thursday;4276;4;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-03 15:00:00 +0100;Thursday;4506;5;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-03 16:00:00 +0100;Thursday;4509;4;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-03 17:00:00 +0100;Thursday;3775;4;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-03 18:00:00 +0100;Thursday;2295;4;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-03 19:00:00 +0100;Thursday;1310;2;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-03 20:00:00 +0100;Thursday;379;2;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-03 21:00:00 +0100;Thursday;105;1;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-03 22:00:00 +0100;Thursday;118;2;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-03 23:00:00 +0100;Thursday;65;1;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 00:00:00 +0100;Friday;27;-1;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 01:00:00 +0100;Friday;15;0;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 02:00:00 +0100;Friday;7;0;fog;
Ludgeristraße, Münster;2019-01-04 03:00:00 +0100;Friday;12;0;fog;
Ludgeristraße, Münster;2019-01-04 04:00:00 +0100;Friday;21;-1;fog;
Ludgeristraße, Münster;2019-01-04 05:00:00 +0100;Friday;29;0;fog;
Ludgeristraße, Münster;2019-01-04 06:00:00 +0100;Friday;79;1;fog;
Ludgeristraße, Münster;2019-01-04 07:00:00 +0100;Friday;370;1;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 08:00:00 +0100;Friday;277;2;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 09:00:00 +0100;Friday;651;3;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-04 10:00:00 +0100;Friday;1520;3;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-04 11:00:00 +0100;Friday;2748;4;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-04 12:00:00 +0100;Friday;3452;4;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-04 13:00:00 +0100;Friday;3729;4;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-04 14:00:00 +0100;Friday;3954;4;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-04 15:00:00 +0100;Friday;5369;4;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-04 16:00:00 +0100;Friday;4258;4;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-04 17:00:00 +0100;Friday;3622;4;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 18:00:00 +0100;Friday;2593;4;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 19:00:00 +0100;Friday;1402;5;cloudy;
Ludgeristraße, Münster;2019-01-04 20:00:00 +0100;Friday;404;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 21:00:00 +0100;Friday;214;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 22:00:00 +0100;Friday;151;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-04 23:00:00 +0100;Friday;158;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-05 00:00:00 +0100;Saturday;123;6;fog;
Ludgeristraße, Münster;2019-01-05 01:00:00 +0100;Saturday;80;6;fog;
Ludgeristraße, Münster;2019-01-05 02:00:00 +0100;Saturday;42;6;rain;
Ludgeristraße, Münster;2019-01-05 03:00:00 +0100;Saturday;62;6;rain;
Ludgeristraße, Münster;2019-01-05 04:00:00 +0100;Saturday;23;6;rain;
Ludgeristraße, Münster;2019-01-05 05:00:00 +0100;Saturday;33;7;rain;
