location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Alter Fischmarkt, Münster;2023-01-01 00:00:00 +0100;Sunday;285;12;wind;
Alter Fischmarkt, Münster;2023-01-01 01:00:00 +0100;Sunday;281;13;wind;
Alter Fischmarkt, Münster;2023-01-01 02:00:00 +0100;Sunday;250;16;wind;
Alter Fischmarkt, Münster;2023-01-01 03:00:00 +0100;Sunday;270;15;wind;
Alter Fischmarkt, Münster;2023-01-01 04:00:00 +0100;Sunday;233;15;wind;
Alter Fischmarkt, Münster;2023-01-01 05:00:00 +0100;Sunday;91;15;wind;
Alter Fischmarkt, Münster;2023-01-01 06:00:00 +0100;Sunday;23;14;wind;
Alter Fischmarkt, Münster;2023-01-01 07:00:00 +0100;Sunday;3;15;wind;
Alter Fischmarkt, Münster;2023-01-01 08:00:00 +0100;Sunday;15;14;wind;
Alter Fischmarkt, Münster;2023-01-01 09:00:00 +0100;Sunday;9;13;cloudy;
Alter Fischmarkt, Münster;2023-01-01 10:00:00 +0100;Sunday;31;13;cloudy;
Alter Fischmarkt, Münster;2023-01-01 11:00:00 +0100;Sunday;53;14;cloudy;
Alter Fischmarkt, Münster;2023-01-01 12:00:00 +0100;Sunday;89;14;cloudy;
Alter Fischmarkt, Münster;2023-01-01 13:00:00 +0100;Sunday;177;14;cloudy;
Alter Fischmarkt, Münster;2023-01-01 14:00:00 +0100;Sunday;202;13;cloudy;
Alter Fischmarkt, Münster;2023-01-01 15:00:00 +0100;Sunday;271;13;cloudy;
Alter Fischmarkt, Münster;2023-01-01 16:00:00 +0100;Sunday;272;13;cloudy;
Alter Fischmarkt, Münster;2023-01-01 17:00:00 +0100;Sunday;180;13;cloudy;
Alter Fischmarkt, Münster;2023-01-01 18:00:00 +0100;Sunday;132;13;cloudy;
Alter Fischmarkt, Münster;2023-01-01 19:00:00 +0100;Sunday;49;12;cloudy;
Alter Fischmarkt, Münster;2023-01-01 20:00:00 +0100;Sunday;31;11;rain;
Alter Fischmarkt, Münster;2023-01-01 21:00:00 +0100;Sunday;32;11;rain;
Alter Fischmarkt, Münster;2023-01-01 22:00:00 +0100;Sunday;25;10;rain;
