location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2022-01-01 00:00:00 +0100;Saturday;371;12;cloudy;
Ludgeristraße, Münster;2022-01-01 01:00:00 +0100;Saturday;92;12;cloudy;
Ludgeristraße, Münster;2022-01-01 02:00:00 +0100;Saturday;83;12;cloudy;
Ludgeristraße, Münster;2022-01-01 03:00:00 +0100;Saturday;83;12;cloudy;
Ludgeristraße, Münster;2022-01-01 04:00:00 +0100;Saturday;39;11;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-01 05:00:00 +0100;Saturday;33;11;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-01 06:00:00 +0100;Saturday;20;11;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-01 07:00:00 +0100;Saturday;15;11;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-01 08:00:00 +0100;Saturday;18;11;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-01 09:00:00 +0100;Saturday;38;10;cloudy;
Ludgeristraße, Münster;2022-01-01 10:00:00 +0100;Saturday;68;10;cloudy;
Ludgeristraße, Münster;2022-01-01 11:00:00 +0100;Saturday;138;11;cloudy;
Ludgeristraße, Münster;2022-01-01 12:00:00 +0100;Saturday;222;11;cloudy;
Ludgeristraße, Münster;2022-01-01 13:00:00 +0100;Saturday;305;12;cloudy;
Ludgeristraße, Münster;2022-01-01 14:00:00 +0100;Saturday;434;12;cloudy;
Ludgeristraße, Münster;2022-01-01 15:00:00 +0100;Saturday;495;13;cloudy;
Ludgeristraße, Münster;2022-01-01 16:00:00 +0100;Saturday;571;12;cloudy;
Ludgeristraße, Münster;2022-01-01 17:00:00 +0100;Saturday;517;12;cloudy;
Ludgeristraße, Münster;2022-01-01 18:00:00 +0100;Saturday;295;11;cloudy;
Ludgeristraße, Münster;2022-01-01 19:00:00 +0100;Saturday;176;11;cloudy;
Ludgeristraße, Münster;2022-01-01 20:00:00 +0100;Saturday;125;11;cloudy;
Ludgeristraße, Münster;2022-01-01 21:00:00 +0100;Saturday;138;11;cloudy;
Ludgeristraße, Münster;2022-01-01 22:00:00 +0100;Saturday;58;10;cloudy;
Ludgeristraße, Münster;2022-01-01 23:00:00 +0100;Saturday;40;10;cloudy;
Ludgeristraße, Münster;2022-01-02 00:00:00 +0100;Sunday;23;10;cloudy;
Ludgeristraße, Münster;2022-01-02 01:00:00 +0100;Sunday;9;10;cloudy;
Ludgeristraße, Münster;2022-01-02 02:00:00 +0100;Sunday;2;11;cloudy;
Ludgeristraße, Münster;2022-01-02 03:00:00 +0100;Sunday;3;11;cloudy;
Ludgeristraße, Münster;2022-01-02 04:00:00 +0100;Sunday;3;11;cloudy;
Ludgeristraße, Münster;2022-01-02 05:00:00 +0100;Sunday;4;11;cloudy;
Ludgeristraße, Münster;2022-01-02 06:00:00 +0100;Sunday;12;11;cloudy;
Ludgeristraße, Münster;2022-01-02 07:00:00 +0100;Sunday;5;11;cloudy;
Ludgeristraße, Münster;2022-01-02 08:00:00 +0100;Sunday;10;11;cloudy;
Ludgeristraße, Münster;2022-01-02 09:00:00 +0100;Sunday;30;11;cloudy;
Ludgeristraße, Münster;2022-01-02 10:00:00 +0100;Sunday;101;12;cloudy;
Ludgeristraße, Münster;2022-01-02 11:00:00 +0100;Sunday;147;12;cloudy;
Ludgeristraße, Münster;2022-01-02 12:00:00 +0100;Sunday;348;12;cloudy;
Ludgeristraße, Münster;2022-01-02 13:00:00 +0100;Sunday;414;13;cloudy;
Ludgeristraße, Münster;2022-01-02 14:00:00 +0100;Sunday;560;13;cloudy;
Ludgeristraße, Münster;2022-01-02 15:00:00 +0100;Sunday;662;12;cloudy;
Ludgeristraße, Münster;2022-01-02 16:00:00 +0100;Sunday;698;12;cloudy;
Ludgeristraße, Münster;2022-01-02 17:00:00 +0100;Sunday;382;12;cloudy;
Ludgeristraße, Münster;2022-01-02 18:00:00 +0100;Sunday;272;12;cloudy;
Ludgeristraße, Münster;2022-01-02 19:00:00 +0100;Sunday;226;11;cloudy;
Ludgeristraße, Münster;2022-01-02 20:00:00 +0100;Sunday;147;11;rain;
Ludgeristraße, Münster;2022-01-02 21:00:00 +0100;Sunday;91;11;rain;
Ludgeristraße, Münster;2022-01-02 22:00:00 +0100;Sunday;12;11;rain;
Ludgeristraße, Münster;2022-01-02 23:00:00 +0100;Sunday;21;10;rain;
Ludgeristraße, Münster;2022-01-03 00:00:00 +0100;Monday;7;10;rain;
Ludgeristraße, Münster;2022-01-03 01:00:00 +0100;Monday;14;10;rain;
Ludgeristraße, Münster;2022-01-03 02:00:00 +0100;Monday;5;10;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-03 03:00:00 +0100;Monday;3;9;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-03 04:00:00 +0100;Monday;7;9;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-03 05:00:00 +0100;Monday;17;9;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-03 06:00:00 +0100;Monday;63;9;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-03 07:00:00 +0100;Monday;188;9;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-03 08:00:00 +0100;Monday;262;9;cloudy;
Ludgeristraße, Münster;2022-01-03 09:00:00 +0100;Monday;469;9;cloudy;
Ludgeristraße, Münster;2022-01-03 10:00:00 +0100;Monday;1239;9;cloudy;
Ludgeristraße, Münster;2022-01-03 11:00:00 +0100;Monday;2284;10;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-03 12:00:00 +0100;Monday;2779;10;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-03 13:00:00 +0100;Monday;3217;9;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-03 14:00:00 +0100;Monday;3344;10;rain;
Ludgeristraße, Münster;2022-01-03 15:00:00 +0100;Monday;3714;9;rain;
Ludgeristraße, Münster;2022-01-03 16:00:00 +0100;Monday;3362;9;rain;
Ludgeristraße, Münster;2022-01-03 17:00:00 +0100;Monday;2834;9;rain;
Ludgeristraße, Münster;2022-01-03 18:00:00 +0100;Monday;1763;9;cloudy;
Ludgeristraße, Münster;2022-01-03 19:00:00 +0100;Monday;890;9;cloudy;
Ludgeristraße, Münster;2022-01-03 20:00:00 +0100;Monday;292;9;cloudy;
Ludgeristraße, Münster;2022-01-03 21:00:00 +0100;Monday;113;9;cloudy;
Ludgeristraße, Münster;2022-01-03 22:00:00 +0100;Monday;65;9;cloudy;
Ludgeristraße, Münster;2022-01-03 23:00:00 +0100;Monday;37;9;cloudy;
Ludgeristraße, Münster;2022-01-04 00:00:00 +0100;Tuesday;27;9;cloudy;
Ludgeristraße, Münster;2022-01-04 01:00:00 +0100;Tuesday;21;9;rain;
Ludgeristraße, Münster;2022-01-04 02:00:00 +0100;Tuesday;6;9;rain;
Ludgeristraße, Münster;2022-01-04 03:00:00 +0100;Tuesday;4;8;rain;
Ludgeristraße, Münster;2022-01-04 04:00:00 +0100;Tuesday;6;8;rain;
Ludgeristraße, Münster;2022-01-04 05:00:00 +0100;Tuesday;28;8;rain;
Ludgeristraße, Münster;2022-01-04 06:00:00 +0100;Tuesday;58;8;cloudy;
Ludgeristraße, Münster;2022-01-04 07:00:00 +0100;Tuesday;195;8;cloudy;
Ludgeristraße, Münster;2022-01-04 08:00:00 +0100;Tuesday;294;7;cloudy;
Ludgeristraße, Münster;2022-01-04 09:00:00 +0100;Tuesday;533;7;rain;
Ludgeristraße, Münster;2022-01-04 10:00:00 +0100;Tuesday;1106;8;rain;
Ludgeristraße, Münster;2022-01-04 11:00:00 +0100;Tuesday;2145;8;rain;
Ludgeristraße, Münster;2022-01-04 12:00:00 +0100;Tuesday;2708;8;rain;
Ludgeristraße, Münster;2022-01-04 13:00:00 +0100;Tuesday;2830;7;rain;
Ludgeristraße, Münster;2022-01-04 14:00:00 +0100;Tuesday;2999;8;rain;
Ludgeristraße, Münster;2022-01-04 15:00:00 +0100;Tuesday;2501;8;rain;
Ludgeristraße, Münster;2022-01-04 16:00:00 +0100;Tuesday;2906;7;rain;
Ludgeristraße, Münster;2022-01-04 17:00:00 +0100;Tuesday;2566;7;rain;
Ludgeristraße, Münster;2022-01-04 18:00:00 +0100;Tuesday;1700;6;rain;
Ludgeristraße, Münster;2022-01-04 19:00:00 +0100;Tuesday;782;5;rain;
Ludgeristraße, Münster;2022-01-04 20:00:00 +0100;Tuesday;241;5;cloudy;
Ludgeristraße, Münster;2022-01-04 21:00:00 +0100;Tuesday;120;5;cloudy;
Ludgeristraße, Münster;2022-01-04 22:00:00 +0100;Tuesday;73;5;cloudy;
Ludgeristraße, Münster;2022-01-04 23:00:00 +0100;Tuesday;46;4;cloudy;
Ludgeristraße, Münster;2022-01-05 00:00:00 +0100;Wednesday;18;4;cloudy;
Ludgeristraße, Münster;2022-01-05 01:00:00 +0100;Wednesday;4;4;cloudy;
Ludgeristraße, Münster;2022-01-05 02:00:00 +0100;Wednesday;4;4;cloudy;
Ludgeristraße, Münster;2022-01-05 03:00:00 +0100;Wednesday;6;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 04:00:00 +0100;Wednesday;22;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 05:00:00 +0100;Wednesday;18;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 06:00:00 +0100;Wednesday;71;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 07:00:00 +0100;Wednesday;232;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 08:00:00 +0100;Wednesday;320;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 09:00:00 +0100;Wednesday;566;1;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-05 10:00:00 +0100;Wednesday;1118;2;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-05 11:00:00 +0100;Wednesday;1591;2;rain;
Ludgeristraße, Münster;2022-01-05 12:00:00 +0100;Wednesday;2153;2;rain;
Ludgeristraße, Münster;2022-01-05 13:00:00 +0100;Wednesday;2383;3;rain;
Ludgeristraße, Münster;2022-01-05 14:00:00 +0100;Wednesday;2409;4;rain;
Ludgeristraße, Münster;2022-01-05 15:00:00 +0100;Wednesday;2725;6;rain;
Ludgeristraße, Münster;2022-01-05 16:00:00 +0100;Wednesday;2888;6;rain;
Ludgeristraße, Münster;2022-01-05 17:00:00 +0100;Wednesday;2423;6;rain;
Ludgeristraße, Münster;2022-01-05 18:00:00 +0100;Wednesday;1608;5;rain;
Ludgeristraße, Münster;2022-01-05 19:00:00 +0100;Wednesday;764;5;rain;
Ludgeristraße, Münster;2022-01-05 20:00:00 +0100;Wednesday;256;5;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 21:00:00 +0100;Wednesday;178;5;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 22:00:00 +0100;Wednesday;90;5;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-05 23:00:00 +0100;Wednesday;52;4;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 00:00:00 +0100;Thursday;23;4;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 01:00:00 +0100;Thursday;5;4;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 02:00:00 +0100;Thursday;7;4;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 03:00:00 +0100;Thursday;3;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 04:00:00 +0100;Thursday;7;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 05:00:00 +0100;Thursday;19;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 06:00:00 +0100;Thursday;52;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 07:00:00 +0100;Thursday;189;2;clear-night;
Ludgeristraße, Münster;2022-01-06 08:00:00 +0100;Thursday;351;2;clear-night;
Ludgeristraße, Münster;2022-01-06 09:00:00 +0100;Thursday;467;1;clear-day;
Ludgeristraße, Münster;2022-01-06 10:00:00 +0100;Thursday;1036;2;clear-day;
Ludgeristraße, Münster;2022-01-06 11:00:00 +0100;Thursday;1955;3;clear-day;
Ludgeristraße, Münster;2022-01-06 12:00:00 +0100;Thursday;2755;4;clear-day;
Ludgeristraße, Münster;2022-01-06 13:00:00 +0100;Thursday;3129;4;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-06 14:00:00 +0100;Thursday;3382;5;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-06 15:00:00 +0100;Thursday;3627;5;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-06 16:00:00 +0100;Thursday;3462;4;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-06 17:00:00 +0100;Thursday;2941;3;clear-night;
Ludgeristraße, Münster;2022-01-06 18:00:00 +0100;Thursday;1793;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 19:00:00 +0100;Thursday;851;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 20:00:00 +0100;Thursday;283;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 21:00:00 +0100;Thursday;148;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-06 22:00:00 +0100;Thursday;84;3;cloudy;
Ludgeristraße, Münster;2022-01-06 23:00:00 +0100;Thursday;64;3;cloudy;
Ludgeristraße, Münster;2022-01-07 00:00:00 +0100;Friday;23;2;cloudy;
Ludgeristraße, Münster;2022-01-07 01:00:00 +0100;Friday;13;2;cloudy;
Ludgeristraße, Münster;2022-01-07 02:00:00 +0100;Friday;9;2;cloudy;
Ludgeristraße, Münster;2022-01-07 03:00:00 +0100;Friday;1;2;cloudy;
Ludgeristraße, Münster;2022-01-07 04:00:00 +0100;Friday;12;2;cloudy;
Ludgeristraße, Münster;2022-01-07 05:00:00 +0100;Friday;26;1;cloudy;
Ludgeristraße, Münster;2022-01-07 06:00:00 +0100;Friday;63;1;fog;
Ludgeristraße, Münster;2022-01-07 07:00:00 +0100;Friday;187;1;cloudy;
Ludgeristraße, Münster;2022-01-07 08:00:00 +0100;Friday;286;1;rain;
Ludgeristraße, Münster;2022-01-07 09:00:00 +0100;Friday;459;1;rain;
Ludgeristraße, Münster;2022-01-07 10:00:00 +0100;Friday;1041;2;rain;
Ludgeristraße, Münster;2022-01-07 11:00:00 +0100;Friday;1586;2;rain;
Ludgeristraße, Münster;2022-01-07 12:00:00 +0100;Friday;2181;3;cloudy;
Ludgeristraße, Münster;2022-01-07 13:00:00 +0100;Friday;2448;4;cloudy;
Ludgeristraße, Münster;2022-01-07 14:00:00 +0100;Friday;2538;4;cloudy;
Ludgeristraße, Münster;2022-01-07 15:00:00 +0100;Friday;2815;4;cloudy;
Ludgeristraße, Münster;2022-01-07 16:00:00 +0100;Friday;3189;4;rain;
Ludgeristraße, Münster;2022-01-07 17:00:00 +0100;Friday;2750;4;cloudy;
Ludgeristraße, Münster;2022-01-07 18:00:00 +0100;Friday;1700;4;cloudy;
Ludgeristraße, Münster;2022-01-07 19:00:00 +0100;Friday;734;4;cloudy;
Ludgeristraße, Münster;2022-01-07 20:00:00 +0100;Friday;265;4;cloudy;
Ludgeristraße, Münster;2022-01-07 21:00:00 +0100;Friday;197;3;cloudy;
Ludgeristraße, Münster;2022-01-07 22:00:00 +0100;Friday;170;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-07 23:00:00 +0100;Friday;74;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 00:00:00 +0100;Saturday;55;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 01:00:00 +0100;Saturday;36;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 02:00:00 +0100;Saturday;22;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 03:00:00 +0100;Saturday;28;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 04:00:00 +0100;Saturday;5;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 05:00:00 +0100;Saturday;12;1;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 06:00:00 +0100;Saturday;33;1;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 07:00:00 +0100;Saturday;62;1;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 08:00:00 +0100;Saturday;168;0;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-08 09:00:00 +0100;Saturday;471;0;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-08 10:00:00 +0100;Saturday;1363;1;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-08 11:00:00 +0100;Saturday;2765;1;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-08 12:00:00 +0100;Saturday;3694;2;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-08 13:00:00 +0100;Saturday;4310;3;partly-cloudy-day;
Ludgeristraße, Münster;2022-01-08 14:00:00 +0100;Saturday;4737;3;cloudy;
Ludgeristraße, Münster;2022-01-08 15:00:00 +0100;Saturday;4704;4;cloudy;
Ludgeristraße, Münster;2022-01-08 16:00:00 +0100;Saturday;4320;3;rain;
Ludgeristraße, Münster;2022-01-08 17:00:00 +0100;Saturday;2961;3;rain;
Ludgeristraße, Münster;2022-01-08 18:00:00 +0100;Saturday;1849;3;rain;
Ludgeristraße, Münster;2022-01-08 19:00:00 +0100;Saturday;1001;3;rain;
Ludgeristraße, Münster;2022-01-08 20:00:00 +0100;Saturday;332;3;rain;
Ludgeristraße, Münster;2022-01-08 21:00:00 +0100;Saturday;247;4;rain;
Ludgeristraße, Münster;2022-01-08 22:00:00 +0100;Saturday;157;4;rain;
Ludgeristraße, Münster;2022-01-08 23:00:00 +0100;Saturday;73;4;rain;
Ludgeristraße, Münster;2022-01-09 00:00:00 +0100;Sunday;72;4;rain;
Ludgeristraße, Münster;2022-01-09 01:00:00 +0100;Sunday;26;4;rain;
Ludgeristraße, Münster;2022-01-09 02:00:00 +0100;Sunday;17;4;rain;
Ludgeristraße, Münster;2022-01-09 03:00:00 +0100;Sunday;12;4;rain;
Ludgeristraße, Münster;2022-01-09 04:00:00 +0100;Sunday;4;3;rain;
Ludgeristraße, Münster;2022-01-09 05:00:00 +0100;Sunday;8;4;rain;
Ludgeristraße, Münster;2022-01-09 06:00:00 +0100;Sunday;6;5;rain;
Ludgeristraße, Münster;2022-01-09 07:00:00 +0100;Sunday;14;6;rain;
Ludgeristraße, Münster;2022-01-09 08:00:00 +0100;Sunday;28;6;rain;
Ludgeristraße, Münster;2022-01-09 09:00:00 +0100;Sunday;54;5;rain;
Ludgeristraße, Münster;2022-01-09 10:00:00 +0100;Sunday;96;5;cloudy;
Ludgeristraße, Münster;2022-01-09 11:00:00 +0100;Sunday;190;5;cloudy;
Ludgeristraße, Münster;2022-01-09 12:00:00 +0100;Sunday;308;5;rain;
Ludgeristraße, Münster;2022-01-09 13:00:00 +0100;Sunday;346;5;rain;
Ludgeristraße, Münster;2022-01-09 14:00:00 +0100;Sunday;389;5;rain;
Ludgeristraße, Münster;2022-01-09 15:00:00 +0100;Sunday;340;5;cloudy;
Ludgeristraße, Münster;2022-01-09 16:00:00 +0100;Sunday;460;5;cloudy;
Ludgeristraße, Münster;2022-01-09 17:00:00 +0100;Sunday;425;5;cloudy;
Ludgeristraße, Münster;2022-01-09 18:00:00 +0100;Sunday;231;5;cloudy;
Ludgeristraße, Münster;2022-01-09 19:00:00 +0100;Sunday;117;4;cloudy;
Ludgeristraße, Münster;2022-01-09 20:00:00 +0100;Sunday;101;4;cloudy;
Ludgeristraße, Münster;2022-01-09 21:00:00 +0100;Sunday;78;4;cloudy;
Ludgeristraße, Münster;2022-01-09 22:00:00 +0100;Sunday;44;3;cloudy;
Ludgeristraße, Münster;2022-01-09 23:00:00 +0100;Sunday;21;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-10 00:00:00 +0100;Monday;10;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-10 01:00:00 +0100;Monday;7;3;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-10 02:00:00 +0100;Monday;5;2;partly-cloudy-night;
Ludgeristraße, Münster;2022-01-10 03:00:00 +0100;Monday;6;2;partly-cloudy-night;
